{'rocketMass': 50.22027616486153, 'inclination': 84.30017264679425, 'heading': 135.71721575381426, 'railLength': 11.993813652571621}
{'rocketMass': 50.197829299556695, 'inclination': 81.63110358998259, 'heading': 137.27126647918152, 'railLength': 11.997177508345887}
{'rocketMass': 50.20685086455416, 'inclination': 84.71860856392306, 'heading': 140.09886595735716, 'railLength': 11.999769003757237}
{'rocketMass': 50.2065602589357, 'inclination': 85.43433050306517, 'heading': 127.52313686615781, 'railLength': 12.000238254104623}
{'rocketMass': 50.188674961653355, 'inclination': 81.08185893252363, 'heading': 125.65044700045931, 'railLength': 11.996984312094579}
{'rocketMass': 50.213555876696766, 'inclination': 84.77992119625878, 'heading': 119.45152464901125, 'railLength': 11.997620678626221}
{'rocketMass': 50.20797924267325, 'inclination': 82.92651330071884, 'heading': 130.37706492186405, 'railLength': 11.997844398909445}
{'rocketMass': 50.20824542756627, 'inclination': 82.78361899078872, 'heading': 125.91188618325587, 'railLength': 12.002252483925256}
{'rocketMass': 50.20650762329653, 'inclination': 84.87255938320268, 'heading': 138.70760571901468, 'railLength': 11.99478753609677}
{'rocketMass': 50.20343987071043, 'inclination': 84.80811393903517, 'heading': 136.61352145273145, 'railLength': 11.999312455928129}
Completed 10 iterations successfully. Total CPU time: 10.052858 s. Total wall time 25.538464069366455 s
